Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
262,Jahleel Addae,LAC,FS,8,41,7,3.5,0.0,0.0,0,4,1,0,0,1,7.6,61.0,2016
263,Grady Jarrett,ATL,DT,16,21,27,5.0,4.0,21.0,8,0,0,0,1,0,3.8,60.6,2016
264,Donte Whitner,WAS,SS,11,49,17,0.0,0.0,0.0,0,0,0,1,0,0,5.5,60.5,2016
265,Earl Thomas,SEA,FS,11,24,22,0.0,0.0,0.0,0,10,2,0,1,1,5.5,60.0,2016
265,Marcus Gilchrist,NYJ,FS,13,39,15,1.5,0.0,0.0,0,3,2,1,0,0,4.6,60.0,2016
265,Dre Kirkpatrick,CIN,CB,15,35,11,0.5,0.0,0.0,0,10,3,0,0,0,4.0,60.0,2016
265,Jaquiski Tartt,SF,SS,15,39,13,5.5,1.0,10.0,3,3,0,0,0,0,4.0,60.0,2016
265,Edwin Jackson,IND,ILB,16,43,20,1.0,2.0,0.0,2,0,0,0,0,0,3.8,60.0,2016
270,Perrish Cox,TEN,CB,11,37,5,0.0,0.0,0.0,0,11,3,0,0,0,5.4,59.5,2016
270,Nevin Lawson,DET,CB,16,45,11,0.0,0.0,0.0,0,9,0,0,0,0,3.7,59.5,2016
270,David Irving,DAL,DT,15,13,4,7.5,4.5,20.0,15,5,0,1,1,0,4.0,59.5,2016
270,De'Vondre Campbell,ATL,OLB,11,35,13,5.0,0.0,0.0,0,7,1,1,0,0,5.4,59.5,2016
274,Jabaal Sheard,NE,DE,15,19,13,7.5,5.0,34.0,9,4,0,0,0,0,4.0,59.4,2016
274,Neville Hewitt,MIA,ILB,16,36,22,5.5,1.0,9.0,1,0,0,0,1,0,3.7,59.4,2016
276,Noah Spence,TB,DE,16,16,6,4.0,5.5,33.5,11,2,0,3,0,0,3.7,59.35,2016
277,Nolan Carroll,PHI,CB,16,40,14,0.0,0.0,0.0,0,9,1,0,0,0,3.7,59.0,2016
277,Shareece Wright,BAL,CB,12,42,8,4.0,0.0,0.0,0,6,0,0,1,0,4.9,59.0,2016
279,Maurice Alexander,LAR,SS,14,38,12,1.0,1.0,9.0,1,4,2,0,0,0,4.2,58.9,2016
280,Maliek Collins,DAL,DT,16,17,6,6.0,5.0,36.0,13,0,0,1,1,0,3.7,58.6,2016
281,Clay Matthews,GB,ILB,12,20,4,8.0,5.0,35.0,9,3,0,1,0,0,4.9,58.5,2016
281,Nickell Robey,BUF,CB,16,27,3,2.0,0.0,0.0,0,7,2,0,1,2,3.7,58.5,2016
