Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
75,Austin Collie,IND,WR,16,96,54,56.2,514,1,27,5.4,9.5,0,0,0,0,0,0,3.6,57.4
76,Ben Obomanu,SEA,WR,16,61,37,60.7,436,2,55,7.1,11.8,1,13,13,0,0,0,3.6,56.9
77,Harry Douglas,ATL,WR,16,62,39,62.9,498,1,49,8,12.8,1,3,3,0,0,0,3.5,56.1
78,Danario Alexander,LAR,WR,10,60,26,43.3,431,2,68,7.2,16.6,0,0,0,0,0,0,5.5,55.1
79,Jason Hill,JAX,WR,10,55,25,45.5,367,3,74,6.7,14.7,0,0,0,0,0,0,5.5,54.7
80,Legedu Naanee,CAR,WR,15,76,44,57.9,467,1,28,6.1,10.6,0,0,0,0,0,0,3.6,53.78
81,Lavelle Hawkins,TEN,WR,16,77,47,61,470,1,32,6.1,10,0,0,0,0,1,0,3.3,53
82,Devin Aromashodu,MIN,WR,16,84,26,31,468,1,60,5.6,18,0,0,0,0,1,0,3.3,52.8
83,Brandon Gibson,LAR,WR,15,71,36,50.7,431,1,34,6.1,12,2,16,8,0,0,0,3.4,50.7
84,Mohamed Massaquoi,CLE,WR,14,74,31,41.9,384,2,56,5.2,12.4,0,0,0,0,0,0,3.6,50.4
85,Andre Caldwell,CIN,WR,13,68,37,54.4,317,3,49,4.7,8.6,0,0,0,0,0,0,3.8,49.7
86,Mike Thomas,JAX,WR,15,91,44,48.4,415,1,47,4.6,9.4,3,11,3.7,0,1,0,3.2,48.6
87,Hines Ward,PIT,WR,15,63,46,73,381,2,31,6,8.3,0,0,0,0,1,1,3.2,48.1
88,Kyle Williams,SF,WR,13,31,20,64.5,241,3,56,7.8,12,2,32,16,0,0,0,3.5,45.3
89,Dane Sanzenbacher,CHI,WR,16,54,27,50,276,3,22,5.1,10.2,1,-4,-4,0,0,0,2.8,45.2
90,Kenny Britt,TEN,WR,3,26,17,65.4,289,3,80,11.1,17,0,0,0,0,1,1,15,44.9
90,Vincent Brown,LAC,WR,14,40,19,47.5,329,2,31,8.2,17.3,0,0,0,0,0,0,3.2,44.9
92,Donte' Stallworth,WAS,WR,11,38,22,57.9,309,2,51,8.1,14,2,1,0.5,0,0,0,3.9,43
